Dataset,模型,精确度,AUC,F1-分数,第一类错误,第二类错误
German Credit,XGBoost,0.733,0.7629047619047619,0.520157162572056,0.11347517730496454,0.3559322033898305
German Credit,决策树,0.6799999999999999,0.62,0.46927628469836086,0.20567375886524822,0.4745762711864407
German Credit,随机森林,0.752,0.7847976190476191,0.49740758875570973,0.07092198581560284,0.559322033898305
German Credit,SVM,0.756,0.7851666666666667,0.486046731046731,0.0851063829787234,0.5423728813559322
Australian Credit,XGBoost,0.8753623188405797,0.9277062211077908,0.8869739467825412,0.17647058823529413,0.11494252873563218
Australian Credit,决策树,0.8130434782608695,0.8006193491998831,0.8228493459389071,0.19607843137254902,0.11494252873563218
Australian Credit,随机森林,0.8637681159420291,0.931155976632124,0.8732056668631722,0.19607843137254902,0.12643678160919541
Australian Credit,SVM,0.8521739130434783,0.9140201472384388,0.8615380043414559,0.21568627450980393,0.12643678160919541
