Dataset,Classifier,Accuracy,AUC,Type1-error,Type2-error
df1,DecisionTree,0.6933333333333334,0.6568957358431043,0.23444976076555024,0.4725274725274725
df1,KNN,0.75,0.7031652557968349,0.11961722488038277,0.5494505494505495
df1,RandomForest,0.74,0.7551658867448341,0.15311004784688995,0.5054945054945055
df1,SVM,0.7366666666666667,0.7841894947158105,0.10047846889952153,0.6373626373626373
df1,XGBoost,0.7166666666666667,0.7367632367632367,0.1722488038277512,0.5384615384615384
df2,DecisionTree,0.8405797101449275,0.8383303938859494,0.18518518518518517,0.14285714285714285
df2,KNN,0.7681159420289855,0.8560160689790319,0.3333333333333333,0.16666666666666666
df2,RandomForest,0.855072463768116,0.9206839114246522,0.18518518518518517,0.11904761904761904
df2,XGBoost,0.8405797101449275,0.9050068587105625,0.2222222222222222,0.11904761904761904
